District ID,District Name,School ID,School Name,F5,School Year,Total,4 Year Olds Program,F9,Early Kindergarten,Kindergarten,Total K,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Table Name,School year (fall),School Name (group)
1065,Gorham Public Schools,1251,Village Elementary School-Gorham,null,2006-07,609,-,null,-,null,-,null,null,191,194,224,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Village Elementary School-Gorham
1065,Gorham Public Schools,1253,Gorham High School,null,2006-07,890,-,null,-,null,-,null,null,null,null,null,null,null,null,253,214,241,182,2006-2007.csv,9/1/06,Gorham High School
1065,Gorham Public Schools,1858,Gorham Middle School,null,2006-07,654,-,null,-,null,-,null,null,null,null,null,220,218,216,null,null,null,null,2006-2007.csv,9/1/06,Gorham Middle School
1070,Greenville Public Schools,1258,Greenville Middle/High School,null,2006-07,161,-,null,-,null,-,null,null,null,null,null,21,17,28,25,21,26,23,2006-2007.csv,9/1/06,Greenville Middle/High School
1074,Hermon Public Schools,1263,Hermon Middle School,null,2006-07,292,-,null,-,null,-,null,null,null,null,69,68,82,73,null,null,null,null,2006-2007.csv,9/1/06,Hermon Middle School
1074,Hermon Public Schools,1264,Hermon High School,null,2006-07,553,-,null,-,null,-,null,null,null,null,null,null,null,null,157,150,147,99,2006-2007.csv,9/1/06,Hermon High School
1080,Jay School Department,1268,Spruce Mountain High School North,null,2006-07,284,-,null,-,null,-,null,null,null,null,null,null,null,null,73,72,78,61,2006-2007.csv,9/1/06,Spruce Mountain High School North
1080,Jay School Department,1270,Jay Middle School,null,2006-07,249,-,null,-,null,-,null,null,null,null,49,50,81,69,null,null,null,null,2006-2007.csv,9/1/06,Jay Middle School
1085,Kittery Public Schools,1275,Shapleigh School,null,2006-07,243,-,null,-,null,-,null,null,null,null,null,69,77,97,null,null,null,null,2006-2007.csv,9/1/06,Shapleigh School
1085,Kittery Public Schools,1276,Frisbee Elementary School,null,2006-07,245,-,null,-,null,-,null,null,83,80,82,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Frisbee Elementary School
1085,Kittery Public Schools,1277,Robert W Traip Academy,null,2006-07,356,-,null,-,null,-,null,null,null,null,null,null,null,null,85,94,91,86,2006-2007.csv,9/1/06,Robert W Traip Academy
1088,Lewiston Public Schools,1283,Lewiston High School,null,2006-07,"1,391",-,null,-,null,-,null,null,null,null,null,null,null,null,372,349,350,320,2006-2007.csv,9/1/06,Lewiston High School
1088,Lewiston Public Schools,1285,Lewiston Middle School,null,2006-07,732,-,null,-,null,-,null,null,null,null,null,null,363,369,null,null,null,null,2006-2007.csv,9/1/06,Lewiston Middle School
1092,Lisbon Public Schools,1292,Philip W Sugg Middle School,null,2006-07,253,-,null,-,null,-,null,null,null,null,null,null,128,125,null,null,null,null,2006-2007.csv,9/1/06,Philip W Sugg Middle School
1092,Lisbon Public Schools,1293,Lisbon High School,null,2006-07,453,-,null,-,null,-,null,null,null,null,null,null,null,null,108,118,120,107,2006-2007.csv,9/1/06,Lisbon High School
1093,Litchfield School Department,1295,Carrie Ricker Middle School,null,2006-07,271,-,null,-,null,-,null,null,40,42,42,43,52,52,null,null,null,null,2006-2007.csv,9/1/06,Carrie Ricker Middle School
1095,Machias Public Schools,1298,Machias Memorial High School,null,2006-07,129,-,null,-,null,-,null,null,null,null,null,null,null,null,37,24,32,36,2006-2007.csv,9/1/06,Machias Memorial High School
1097,Madawaska Public Schools,1300,Madawaska Middle/High School,null,2006-07,403,-,null,-,null,-,null,null,null,null,null,55,60,53,68,49,55,63,2006-2007.csv,9/1/06,Madawaska Middle/High School
1105,Medway Public Schools,1304,Medway Middle School,null,2006-07,160,-,null,-,null,-,null,null,null,null,43,34,36,47,null,null,null,null,2006-2007.csv,9/1/06,Medway Middle School
1107,Millinocket Public Schools,1307,Millinocket Middle School,null,2006-07,169,-,null,-,null,-,null,null,null,null,null,44,58,67,null,null,null,null,2006-2007.csv,9/1/06,Millinocket Middle School
1107,Millinocket Public Schools,1308,Stearns Jr-Sr High School,null,2006-07,244,-,null,-,null,-,null,null,null,null,null,null,null,null,57,62,63,62,2006-2007.csv,9/1/06,Stearns Jr-Sr High School
1109,Monhegan Plt School Dept,1310,Monhegan Island School,null,2006-07,7,-,null,-,null,-,1,null,2,null,1,1,null,2,null,null,null,null,2006-2007.csv,9/1/06,Monhegan Island School
1110,Monmouth School Department,1312,Monmouth Academy,null,2006-07,275,-,null,-,null,-,null,null,null,null,null,null,null,null,71,81,57,66,2006-2007.csv,9/1/06,Monmouth Academy
1110,Monmouth School Department,1313,Monmouth Middle School,null,2006-07,309,-,null,-,null,-,null,null,null,61,67,57,57,67,null,null,null,null,2006-2007.csv,9/1/06,Monmouth Middle School
1119,Old Orchard Beach School Dept,1319,Loranger Middle School,null,2006-07,366,-,null,-,null,-,null,null,null,59,65,85,86,71,null,null,null,null,2006-2007.csv,9/1/06,Loranger Middle School
1119,Old Orchard Beach School Dept,1320,Old Orchard Beach High School,null,2006-07,319,-,null,-,null,-,null,null,null,null,null,null,null,null,87,69,88,75,2006-2007.csv,9/1/06,Old Orchard Beach High School
1120,Old Town School Department,1325,Leonard Middle School,null,2006-07,335,-,null,-,null,-,null,null,null,null,null,110,103,122,null,null,null,null,2006-2007.csv,9/1/06,Leonard Middle School
1120,Old Town School Department,1326,Old Town High School,null,2006-07,605,-,null,-,null,-,null,null,null,null,null,null,null,null,134,143,172,156,2006-2007.csv,9/1/06,Old Town High School
1123,Orono School Department,1329,Orono High School,null,2006-07,377,-,null,-,null,-,null,null,null,null,null,null,null,null,91,102,106,78,2006-2007.csv,9/1/06,Orono High School
1123,Orono School Department,1330,Orono Middle School,null,2006-07,138,-,null,-,null,-,null,null,null,null,null,43,43,52,null,null,null,null,2006-2007.csv,9/1/06,Orono Middle School
1133,Poland School Department,1341,Poland Regional H S,null,2006-07,576,-,null,-,null,-,null,null,null,null,null,null,null,null,181,154,127,114,2006-2007.csv,9/1/06,Poland Regional H S
