Receipt Amount,Recipient candidate,Recipient committee,City,State,Contributor name,Contributor type,Employer,Description,Date
"$1,000 ",Mason,Charting Maine's Future,West Roxbury,MA,"Merck & Co., Inc.",Business,,,6/20/16
"$1,000 ",Mason,Charting Maine's Future,Portland,ME,Verrill Dana Llp,Business,,,10/28/13
"$1,000 ",Fredette,Leadership For Maine's Future,Augusta,ME,Me Healthcare Association  PAC,Business,,,9/4/08
"$1,000 ",Fredette,Leadership For Maine's Future,Augusta,ME,Maine Beer & Wine Wholesalers Association,Business,,,9/10/08
"$1,000 ",Fredette,Leadership For Maine's Future,Augusta,ME,Me Truckpac,Business,,,9/11/08
"$1,000 ",Fredette,Leadership For Maine's Future,Scarborough,ME,Scarborough Downs,Business,,,9/15/08
"$1,000 ",Fredette,Leadership For Maine's Future,Newport,ME,"Bowman Brothers, Inc.",Business,,,10/22/09
"$1,000 ",Fredette,Leadership For Maine's Future,Augusta,ME,Maine Beer & Wine Wholesalers Association,Business,,,10/22/09
"$1,000 ",Fredette,Leadership For Maine's Future,Memphis,TN,"Pfizer, Inc.",Business,,CONTRIBUTION,10/31/16
"$1,000 ",Fredette,Leadership For Maine's Future,Newport,ME,"Bowman Brothers, Inc.",Business,,,9/25/08
"$1,000 ",Fredette,Leadership For Maine's Future,Augusta,ME,Central Maine Power Company Employee PAC,Business,,,9/25/08
"$1,000 ",Fredette,Leadership For Maine's Future,Portland,ME,Verrill Dana Llp,Business,,,9/25/08
"$1,000 ",Fredette,Leadership For Maine's Future,Augusta,ME,Pine State Trading Co.,Business,,,9/25/08
"$1,000 ",Fredette,Leadership For Maine's Future,Franklin Lakes,NJ,"Medco Health Solutions, Inc.",Business,,,10/14/08
"$1,000 ",Fredette,Leadership For Maine's Future,St. Louis,MO,Anheuser Busch,Business,,,10/28/08
"$1,000 ",Fredette,Leadership For Maine's Future,Columbia Falls,MT,Plum Creek,Business,,,10/30/08
"$1,000 ",Fredette,Leadership For Maine's Future,Juno Beach,FL,"Fpl Energy Maine, Inc.",Business,,,10/30/08
"$1,000 ",Fredette,Leadership For Maine's Future,Abbott Park,IL,Abbott Laboratories Employee PAC,Business,,,11/4/08
"$1,000 ",Fredette,Leadership For Maine's Future,St. Paul,MN,"Fls Connect, Llc",Business,,,11/28/08
"$1,000 ",Fredette,Leadership For Maine's Future,Lincoln,ME,"Lincoln Pulp & Tissue, Llc",Business,,,12/3/08
"$1,000 ",Fredette,Leadership For Maine's Future,Pittsfield,ME,Cianbro,Business,,,12/17/15
"$1,000 ",Fredette,Leadership For Maine's Future,Cincinnati,OH,Anthem Blue Cross And Blue Shield,Business,,,10/27/14
"$1,000 ",Fredette,Leadership For Maine's Future,South Portland,ME,Spectrum Medical Group,Business,,,11/4/15
"$1,000 ",Fredette,Leadership For Maine's Future,Newport,ME,"Bowman Brothers, Inc.",Business,,,10/13/10
"$1,000 ",Fredette,Leadership For Maine's Future,Milwaukee,WI,"Millercoors, Llc",Business,,,6/3/10
"$1,000 ",Fredette,Leadership For Maine's Future,Portland,ME,Pierce Atwood Llp,Business,,,7/10/08
"$1,000 ",Fredette,Leadership For Maine's Future,Augusta,ME,Maine Bankers Association Political Action Committee,Business,,,7/11/08
"$1,000 ",Fredette,Leadership For Maine's Future,Nobleboro,ME,Telephone Association Of Maine,Business,,,7/16/08
"$1,000 ",Fredette,Leadership For Maine's Future,Portland,ME,Maine Association Of Community Banks,Business,,,7/21/08
"$1,000 ",Fredette,Leadership For Maine's Future,St. Louis,MO,Monsanto Company,Business,,,7/24/08
"$1,000 ",Fredette,Leadership For Maine's Future,Tallahassee,FL,Anheuser Busch,Business,,,8/11/08
"$1,000 ",Fredette,Leadership For Maine's Future,Norwalk,CT,"Diageo North America, Inc.",Business,,,8/18/08
"$1,000 ",Fredette,Leadership For Maine's Future,Houston,TX,Waste Management,Business,,,8/19/08
"$1,000 ",Fredette,Leadership For Maine's Future,Calgary,AB,"9207670 Delaware, Inc.",Business,,,12/2/14
"$1,000 ",Fredette,Leadership For Maine's Future,Bangor,ME,Fairpoint Communications,Business,,,12/2/14
"$1,000 ",Fredette,Leadership For Maine's Future,Augusta,ME,"Strategic Advocacy, Llc",Business,,,12/2/14
"$1,000 ",Fredette,Leadership For Maine's Future,Herndon,VA,"K12 Management, Inc.",Business,,,8/10/15
"$1,000 ",Fredette,Leadership For Maine's Future,Winston-salem,NC,Rai Services Company,Business,,,6/23/14
"$1,000 ",Fredette,Leadership For Maine's Future,Bangor,ME,Eaton Peabody,Business,,,7/7/14
"$1,000 ",Fredette,Leadership For Maine's Future,Milwaukee,WI,"Millercoors, Llc",Business,,,7/11/14
"$1,000 ",Fredette,Leadership For Maine's Future,St. Louis,MO,Monsanto Company,Business,,,7/11/14
"$1,000 ",Fredette,Leadership For Maine's Future,Augusta,ME,Maine Association Of Realtors PAC,Business,,,9/25/17
"$1,000 ",Fredette,Leadership For Maine's Future,Wilmington,DE,Astrazeneca,Business,,,10/14/14
"$1,000 ",Fredette,Leadership For Maine's Future,Bangor,ME,Dysart's Service,Business,,,11/15/10
"$1,000 ",Fredette,Leadership For Maine's Future,Cincinnati,OH,Anthem Blue Cross And Blue Shield,Business,,,11/29/10
"$1,000 ",Fredette,Leadership For Maine's Future,Foxboro,MA,Pharmaceutical Research And Manufacturers Of America,Business,,,6/7/10
"$1,000 ",Fredette,Leadership For Maine's Future,South Portland,ME,Spectrum Medical Group,Business,,,6/11/10
"$1,000 ",Fredette,Leadership For Maine's Future,Houston,TX,Waste Management,Business,,,7/9/10
"$1,000 ",Fredette,Leadership For Maine's Future,St. Louis,MO,Monsanto Company,Business,,,7/17/10
"$1,000 ",Fredette,Leadership For Maine's Future,Portsmouth,NH,Macino Llc,Business,,,9/5/12
"$1,000 ",Fredette,Leadership For Maine's Future,Herndon,VA,"K12 Management, Inc.",Business,,,10/17/14
"$1,000 ",Fredette,Leadership For Maine's Future,Charlotte,NC,Time Warner Cable,Business,,CONTRIBUTION,5/12/16
"$1,000 ",Fredette,Leadership For Maine's Future,Whitehouse Station,NJ,"Merck & Co., Inc.",Business,,,9/14/15
"$1,000 ",Fredette,Leadership For Maine's Future,Herndon,VA,"K12 Management, Inc.",Business,,CONTRIBUTION,10/11/16
"$1,000 ",Fredette,Leadership For Maine's Future,Winston-salem,NC,Rai Services Company,Business,,CONTRIBUTION,10/26/16
"$1,000 ",Fredette,Leadership For Maine's Future,Augusta,ME,Medical Marijuana Caregivers Of Maine,Business,,,6/3/14
"$1,000 ",Fredette,Leadership For Maine's Future,Washington,DC,Pharmaceutical Research And Manufacturers Of America,Business,,,6/5/14
"$1,000 ",Fredette,Leadership For Maine's Future,South Portland,ME,Spectrum Medical Group,Business,,CONTRIBUTION,8/9/16
"$1,000 ",Fredette,Leadership For Maine's Future,Portland,ME,Northeast Patients Group Dba Wellness Connection Of Maine,Business,,CONTRIBUTION,8/9/16
"$1,000 ",Fredette,Leadership For Maine's Future,Richmond,VA,"Altria Client Services, Inc.",Business,,CONTRIBUTION,8/15/16
"$1,000 ",Fredette,Leadership For Maine's Future,Richmond,VA,"Altria Client Services, Inc.",Business,,CONTRIBUTION,8/15/16
"$1,000 ",Fredette,Leadership For Maine's Future,Jersey City,NJ,Anheuser Busch,Business,,CONTRIBUTION,8/19/16
"$1,000 ",Fredette,Leadership For Maine's Future,St. Louis,MO,Charter Communications,Business,,,10/2/17
"$1,000 ",Fredette,Leadership For Maine's Future,Whitehouse Station,NJ,"Merck & Co., Inc.",Business,,,10/2/17
"$1,000 ",Fredette,Leadership For Maine's Future,Louisville,KY,"Sazerac Company, Inc.",Business,,,11/20/17
