Amount,Candidate or committee,Candidate,Recipient,Type of contribution,Date,Employer,Occupation,Purpose,Source
"$2,000 ",Leadership For Maine's Future Pac,Fredette Kenneth W,Maine Republican Party,PAC,7/20/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,R Ryan Harmon,PAC,8/1/16,,,,Maine Ethics Commission
"$3,000 ",Leadership For Maine's Future Pac,Fredette Kenneth W,Maine Republican Party,PAC,9/9/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Heidi H Sampson,PAC,9/9/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Pac,Fredette Kenneth W,Nathan J Wadsworth,PAC,9/9/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Jeffrey K Pierce,PAC,9/13/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Richard M Cebra,PAC,9/30/16,,,,Maine Ethics Commission
$150 ,Leadership For Maine's Future,Fredette Kenneth W,Joel Stetkis,PAC,9/30/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Roger E Reed,PAC,10/1/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Paula G Sutton,PAC,10/3/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,David G Haggan,PAC,10/11/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Chad Wayne Grignon,PAC,10/11/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Richard H Campbell,PAC,10/11/16,,,,Maine Ethics Commission
"$2,000 ",Leadership For Maine's Future Pac,Fredette Kenneth W,Maine Republican Party,PAC,10/12/16,,,,Maine Ethics Commission
"$10,913 ",Leadership For Maine's Future Pac,Fredette Kenneth W,Maine Republican Party,PAC,10/20/16,,,,Maine Ethics Commission
"$3,000 ",Leadership For Maine's Future Pac,Fredette Kenneth W,Maine Republican Party,PAC,10/27/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Andre E Cushing,PAC,11/2/16,,,,Maine Ethics Commission
$750 ,Leadership For Maine's Future,Fredette Kenneth W,Maine Republican Party,PAC,11/28/16,,,,Maine Ethics Commission
"$1,600 ",Leadership For Maine's Future,Fredette Kenneth W,Kenneth W Fredette,PAC,10/11/17,,,,Maine Ethics Commission
$400 ,Leadership For Maine's Future,Fredette Kenneth W,Western Maine Strong Pac,PAC,10/17/17,,,,Maine Ethics Commission
$200 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Scott Walter Strom,PAC,12/18/17,,,,Maine Ethics Commission
