School year,District,Regular instruction (per student),Regular Instruction,Other instruction (per student),Other Instruction,Transp & Buses (per student),Transp & Buses,Debt Service (per student),Debt Service,Facilities Maintenance (per student),Facilities Maintenance,School Admin (per student),School Admin,Special Ed Instruction (per student),Special Ed Instruction,Student & Staff support (per student),Student & Staff support,System Admin (per student),System Admin,Vocational Ed Instruction (per student),Vocational Ed Instruction,All Other (per student),All Other,Total expenses per pupil
2004-05,RSU 07/MSAD 07,"$9,760","$585,576",$371,"$22,232",$723,"$43,370",,,"$2,115","$126,877","$2,502","$150,130","$1,976","$118,531","$2,081","$124,887","$2,242","$134,532",$504,"$30,259",,,"$22,274"
2005-06,RSU 07/MSAD 07,"$8,785","$610,525",$393,"$27,335",$565,"$39,243",,,"$1,987","$138,124","$1,963","$136,425","$1,757","$122,106","$1,804","$125,373","$1,826","$126,899",$277,"$19,265",,,"$19,357"
2006-07,RSU 07/MSAD 07,"$9,827","$633,827",$425,"$27,394",$625,"$40,329",,,"$2,029","$130,877","$2,397","$154,610","$1,883","$121,437","$1,753","$113,039","$2,173","$140,132",$399,"$25,756",,,"$21,511"
2007-08,RSU 07/MSAD 07,"$11,459","$676,076",$512,"$30,190",$800,"$47,186",,,"$2,878","$169,787","$2,660","$156,940","$2,140","$126,233","$1,798","$106,054","$2,569","$151,555",$460,"$27,121",,,"$25,276"
2008-09,RSU 07/MSAD 07,"$11,480","$711,732",$528,"$32,720",$633,"$39,260","$1,199","$74,323","$2,695","$167,097","$2,656","$164,670","$2,068","$128,223","$1,921","$119,129","$2,477","$153,545",$391,"$24,242",,,"$26,048"
2009-10,RSU 07/MSAD 07,"$12,342","$734,349",$638,"$37,943",$687,"$40,868","$2,868","$170,668","$2,239","$133,190","$2,772","$164,955","$2,208","$131,398","$2,015","$119,888","$2,574","$153,144",$542,"$32,219",,,"$28,885"
2010-11,RSU 07/MSAD 07,"$11,362","$715,822",$620,"$39,033",$449,"$28,258","$2,660","$167,580","$2,141","$134,871","$2,650","$166,935","$2,288","$144,171","$2,033","$128,052","$2,289","$144,193",$636,"$40,079",,,"$27,128"
2011-12,RSU 07/MSAD 07,"$11,804","$743,658",$485,"$30,560",$542,"$34,124","$2,614","$164,706","$2,168","$136,612","$3,150","$198,438","$2,039","$128,460","$1,746","$109,979","$2,442","$153,855",$564,"$35,521",,,"$27,554"
2012-13,RSU 07/MSAD 07,"$12,615","$775,850",$678,"$41,702",$577,"$35,497","$2,631","$161,833","$2,378","$146,228","$2,892","$177,848","$2,307","$141,903","$1,889","$116,194","$2,490","$153,134",$332,"$20,388",,,"$28,789"
2013-14,RSU 07/MSAD 07,"$13,785","$854,657",$646,"$40,048","$1,089","$67,529","$2,547","$157,914","$2,749","$170,448","$2,999","$185,946","$2,601","$161,255","$1,777","$110,167","$2,382","$147,709",$245,"$15,201",,,"$30,820"
2014-15,RSU 07/MSAD 07,"$13,414","$878,639",$628,"$41,158",$935,"$61,271","$2,351","$153,995","$2,626","$172,028","$2,909","$190,509","$3,352","$219,523","$1,737","$113,749","$2,490","$163,118",$338,"$22,161",,,"$30,780"
2003-04,RSU 08/MSAD 08,"$4,229","$905,022",$197,"$42,123",$115,"$24,510","$4,989","$1,067,629",$982,"$210,079",$526,"$112,575",$788,"$168,620",$350,"$74,850",$782,"$167,361",$243,"$51,906",$374,"$80,043","$13,575"
2004-05,RSU 08/MSAD 08,"$4,037","$833,649",$314,"$64,815",$128,"$26,423","$5,080","$1,049,000","$1,172","$242,049",$513,"$105,995",$886,"$183,004",$439,"$90,655","$1,105","$228,074",$299,"$61,744",$414,"$85,428","$14,387"
2005-06,RSU 08/MSAD 08,"$3,665","$784,306",$263,"$56,268",$129,"$27,696","$4,818","$1,031,104","$1,229","$263,000",$542,"$115,954",$858,"$183,543",$788,"$168,625",$841,"$179,913",$267,"$57,038",$385,"$82,408","$13,785"
2006-07,RSU 08/MSAD 08,"$4,175","$866,377",,,$124,"$25,696","$4,900","$1,016,711","$1,353","$280,788",$549,"$113,985",$888,"$184,208",$951,"$197,370",$864,"$179,327",$248,"$51,513",$250,"$51,926","$14,302"
2007-08,RSU 08/MSAD 08,"$4,422","$899,795",$354,"$72,031",$499,"$101,485","$4,594","$934,844","$1,520","$309,301",$636,"$129,442",$893,"$181,686",$964,"$196,249",$963,"$195,994",$343,"$69,802",$321,"$65,407","$15,509"
2008-09,RSU 08/MSAD 08,"$4,862","$950,560",$376,"$73,472",$162,"$31,611","$5,193","$1,015,155","$1,555","$303,979",$654,"$127,805","$1,221","$238,773","$1,108","$216,622",$876,"$171,168",$483,"$94,491",$361,"$70,652","$16,851"
2009-10,RSU 08/MSAD 08,"$5,547","$962,388",$404,"$70,136",$154,"$26,746","$5,648","$979,865","$1,637","$284,036",$722,"$125,252","$1,415","$245,428","$1,161","$201,438",$973,"$168,797",$628,"$108,983",$471,"$81,687","$18,760"
2010-11,RSU 08/MSAD 08,"$6,082","$1,036,911",$416,"$70,916",$176,"$29,953","$5,502","$938,128","$1,840","$313,684",$755,"$128,778","$1,006","$171,494","$1,071","$182,649",$999,"$170,247",$519,"$88,449",$515,"$87,824","$18,881"
2011-12,RSU 08/MSAD 08,"$5,718","$1,040,683",$463,"$84,268",$151,"$27,400","$5,034","$916,092","$1,906","$346,818",$792,"$144,204","$1,236","$225,007","$1,053","$191,601",$968,"$176,081",$390,"$70,916",$527,"$95,852","$18,238"
2012-13,RSU 08/MSAD 08,"$5,760","$1,062,737",$462,"$85,310",$98,"$18,007","$4,661","$859,912","$1,651","$304,553",$784,"$144,705","$1,205","$222,261","$1,027","$189,398",$917,"$169,145",$418,"$77,180",$294,"$54,218","$17,277"
2013-14,RSU 08/MSAD 08,"$6,527","$1,168,400",$517,"$92,578",$64,"$11,479","$4,661","$834,388","$1,726","$308,965",$853,"$152,714","$1,661","$297,327","$1,303","$233,219",$900,"$161,048",$433,"$77,517",$421,"$75,358","$19,066"
2014-15,RSU 08/MSAD 08,"$7,259","$1,306,571",$500,"$89,965",$41,"$7,331","$4,485","$807,354","$1,696","$305,259","$1,086","$195,400","$1,418","$255,165","$1,249","$224,866",$929,"$167,127",$528,"$94,974",$419,"$75,453","$19,610"
2012-13,RSU 09,"$3,851","$8,796,387",$172,"$392,180",$696,"$1,590,334","$2,911","$6,650,006","$1,353","$3,090,001",$478,"$1,091,862","$1,238","$2,827,847",$762,"$1,741,135",$346,"$791,269",$569,"$1,299,331",,,"$12,376"
2013-14,RSU 09,"$4,108","$9,429,535",$222,"$508,822",$722,"$1,657,091","$2,747","$6,306,000","$1,450","$3,329,014",$503,"$1,153,816","$1,292","$2,966,049",$830,"$1,904,283",$346,"$794,667",$566,"$1,298,754",,,"$12,786"
2014-15,RSU 09,"$4,286","$9,846,680",$241,"$553,267",$757,"$1,739,718","$2,676","$6,148,790","$1,449","$3,328,279",$532,"$1,221,405","$1,391","$3,195,422",$877,"$2,015,234",$377,"$866,948",$605,"$1,389,888",,,"$13,191"
2003-04,RSU 09/MSAD 09,"$3,386","$8,944,471",$112,"$296,588",$577,"$1,523,973",$438,"$1,155,957","$1,131","$2,987,301",$373,"$985,905",$804,"$2,123,197",$425,"$1,121,451",$191,"$504,186",$371,"$980,245",,,"$7,808"
2004-05,RSU 09/MSAD 09,"$3,490","$8,859,814",$110,"$280,249",$599,"$1,521,479",$460,"$1,167,123","$1,158","$2,940,446",$433,"$1,100,202",$871,"$2,210,596",$460,"$1,168,511",$175,"$442,997",$379,"$961,663",,,"$8,135"
2005-06,RSU 09/MSAD 09,"$3,459","$8,527,238",$124,"$304,881",$561,"$1,383,966",$458,"$1,128,801","$1,317","$3,248,090",$448,"$1,104,555",$914,"$2,252,798",$624,"$1,538,534",$342,"$842,231",$428,"$1,054,586",,,"$8,675"
2006-07,RSU 09/MSAD 09,"$3,435","$8,344,967",$288,"$699,551",$658,"$1,597,955",$438,"$1,064,353","$1,548","$3,761,373",$448,"$1,087,964","$1,024","$2,487,662",$679,"$1,648,964",$379,"$920,056",$453,"$1,101,677",,,"$9,350"
2007-08,RSU 09/MSAD 09,"$3,476","$8,254,316",$354,"$841,358",$762,"$1,810,283",$410,"$973,037","$1,469","$3,486,989",$472,"$1,120,130","$1,039","$2,466,370",$736,"$1,747,914",$470,"$1,116,917",$456,"$1,083,378",,,"$9,644"
2008-09,RSU 09/MSAD 09,"$3,665","$8,368,114",$375,"$855,155",$710,"$1,620,438",$437,"$997,755","$1,792","$4,090,879",$482,"$1,101,634","$1,124","$2,566,548",$892,"$2,035,897",$363,"$828,231",$517,"$1,180,401",,,"$10,357"
2009-10,RSU 09/MSAD 09,"$3,832","$8,735,988",$379,"$863,701",$720,"$1,641,583",$421,"$959,605","$1,481","$3,376,099",$493,"$1,124,205","$1,055","$2,404,702",$900,"$2,052,082",$321,"$730,979",$584,"$1,330,509",,,"$10,186"
2010-11,RSU 09/MSAD 09,"$3,675","$8,503,712",$186,"$430,369",$721,"$1,667,434",$385,"$890,322","$1,370","$3,171,183",$448,"$1,037,578","$1,068","$2,471,243",$741,"$1,714,008",$334,"$772,075",$577,"$1,334,614",,,"$9,505"
2011-12,RSU 09/MSAD 09,"$3,740","$8,567,193",$200,"$457,799",$704,"$1,613,726","$1,665","$3,815,368","$1,318","$3,019,718",$463,"$1,061,649","$1,163","$2,664,084",$751,"$1,721,136",$363,"$831,612",$550,"$1,260,335",,,"$10,917"
2009-10,RSU 10,"$3,959","$11,570,806",$509,"$1,487,948",$573,"$1,675,339",$755,"$2,206,129","$1,435","$4,194,765",$575,"$1,679,762","$1,765","$5,159,714","$1,025","$2,995,187",$278,"$812,956",$602,"$1,759,965",$2,"$5,280","$11,478"
2010-11,RSU 10,"$4,359","$12,407,295",$423,"$1,203,883",$582,"$1,657,757",$667,"$1,897,148","$1,489","$4,238,125",$607,"$1,728,572","$1,711","$4,870,904","$1,114","$3,171,295",$236,"$670,824",$622,"$1,769,644",$6,"$16,379","$11,816"
2011-12,RSU 10,"$4,453","$12,512,045",$402,"$1,129,184",$615,"$1,729,280",$653,"$1,835,231","$1,529","$4,295,946",$610,"$1,713,028","$1,902","$5,345,608","$1,019","$2,864,226",$228,"$641,029",$614,"$1,725,111",$8,"$22,884","$12,033"
2012-13,RSU 10,"$4,501","$12,509,288",$407,"$1,130,698",$656,"$1,821,861",$597,"$1,660,102","$1,536","$4,269,761",$612,"$1,700,751","$2,003","$5,566,471","$1,111","$3,086,649",$266,"$738,291",$632,"$1,756,239",$30,"$83,436","$12,351"
2013-14,RSU 10,"$4,909","$13,274,528",$417,"$1,127,079",$681,"$1,841,523",$536,"$1,450,273","$1,617","$4,372,330",$650,"$1,758,756","$2,233","$6,037,902","$1,092","$2,953,116",$276,"$744,932",$684,"$1,849,204",$33,"$88,013","$13,128"
2014-15,RSU 10,"$4,791","$12,502,037",$397,"$1,036,313",$716,"$1,868,207",$538,"$1,402,651","$1,801","$4,699,178",$649,"$1,693,987","$2,244","$5,856,731","$1,118","$2,917,072",$295,"$770,792",$729,"$1,901,925",$26,"$68,574","$13,304"
2003-04,RSU 11/MSAD 11,"$3,054","$6,955,529",$163,"$370,299",$443,"$1,009,812",$653,"$1,486,521",$976,"$2,222,563",$502,"$1,142,587",$743,"$1,691,870",$488,"$1,111,920",$319,"$726,831",$110,"$250,514",$52,"$117,981","$7,503"
2004-05,RSU 11/MSAD 11,"$3,072","$6,935,549",$166,"$374,372",$498,"$1,125,195",$611,"$1,380,307",$963,"$2,175,357",$494,"$1,116,370",$773,"$1,744,920",$546,"$1,232,014",$310,"$700,482",$126,"$285,081",$85,"$191,581","$7,644"
2005-06,RSU 11/MSAD 11,"$3,217","$7,145,556",$181,"$400,992",$489,"$1,086,460",$626,"$1,390,733","$1,103","$2,450,436",$521,"$1,156,220",$884,"$1,964,016",$693,"$1,538,600",$328,"$727,620",$119,"$263,916",$77,"$171,236","$8,238"
2006-07,RSU 11/MSAD 11,"$3,420","$7,477,377",$189,"$414,137",$544,"$1,189,278",$591,"$1,291,190","$1,219","$2,664,413",$547,"$1,196,959",$959,"$2,097,413",$592,"$1,294,938",$400,"$874,950",$120,"$261,780",$77,"$168,280","$8,658"
2007-08,RSU 11/MSAD 11,"$3,539","$7,623,212",$278,"$599,094",$599,"$1,290,002",$572,"$1,231,031","$1,500","$3,231,514",$540,"$1,163,818","$1,117","$2,406,310",$801,"$1,725,769",$333,"$717,928",$113,"$242,850",$72,"$155,624","$9,464"
2008-09,RSU 11/MSAD 11,"$3,602","$7,795,308",$243,"$525,387",$615,"$1,330,587",$558,"$1,208,323","$1,194","$2,584,652",$525,"$1,135,740","$1,149","$2,486,109",$811,"$1,754,473",$222,"$481,145",$122,"$263,956",$77,"$167,412","$9,118"
2009-10,RSU 11/MSAD 11,"$3,804","$8,164,253",$252,"$540,125",$600,"$1,287,922",$492,"$1,055,207","$1,146","$2,459,080",$548,"$1,176,259","$1,174","$2,518,347",$828,"$1,777,813",$234,"$502,107",$85,"$181,901",$8,"$18,022","$9,171"
2010-11,RSU 11/MSAD 11,"$3,909","$8,577,287",$207,"$455,046",$605,"$1,327,897",$406,"$891,185","$1,169","$2,565,853",$535,"$1,174,078","$1,171","$2,570,638",$783,"$1,718,295",$265,"$580,961",$94,"$206,009",$39,"$86,285","$9,183"
2011-12,RSU 11/MSAD 11,"$3,999","$8,517,973",$213,"$453,531",$661,"$1,408,623",$398,"$847,713","$1,292","$2,751,597",$522,"$1,111,429","$1,248","$2,659,131",$739,"$1,574,504",$252,"$536,105",$125,"$265,774",$45,"$96,064","$9,494"
2012-13,RSU 11/MSAD 11,"$4,130","$8,735,072",$222,"$469,143",$698,"$1,476,329",$292,"$617,437","$1,289","$2,725,158",$574,"$1,213,038","$1,249","$2,640,713",$629,"$1,330,960",$256,"$540,695",$101,"$212,583",$52,"$110,408","$9,492"
2013-14,RSU 11/MSAD 11,"$4,207","$8,821,512",$223,"$468,041",$725,"$1,520,057",$211,"$443,380","$1,235","$2,588,854",$592,"$1,241,962","$1,228","$2,575,450",$848,"$1,777,212",$231,"$485,098",,,$55,"$114,827","$9,555"
2014-15,RSU 11/MSAD 11,"$4,443","$9,086,430",$248,"$506,270",$767,"$1,567,750",$206,"$420,939","$1,383","$2,828,350",$622,"$1,271,238","$1,274","$2,604,635",$865,"$1,767,941",$246,"$502,528",,,$87,"$177,142","$10,141"
2009-10,RSU 12,"$5,997","$12,305,161",$305,"$625,988",$757,"$1,553,673",$362,"$743,756","$1,042","$2,137,495",$598,"$1,226,930","$2,209","$4,532,877",$680,"$1,395,343",$263,"$539,326",$138,"$283,211",,,"$12,351"
2010-11,RSU 12,"$6,017","$11,787,902",$129,"$252,981",$788,"$1,543,025",$341,"$667,528","$1,101","$2,156,058",$642,"$1,257,087","$2,090","$4,094,847",$744,"$1,457,787",$280,"$548,527",$166,"$325,543",$51,"$100,000","$12,349"
2011-12,RSU 12,"$5,923","$11,264,789",$144,"$272,977",$777,"$1,478,420",$749,"$1,424,074","$1,223","$2,325,439",$700,"$1,331,163","$1,920","$3,652,193",$783,"$1,489,873",$259,"$492,285",$165,"$313,287",$32,"$60,000","$12,675"
2012-13,RSU 12,"$5,398","$10,426,704",$144,"$278,118",$831,"$1,604,570","$1,016","$1,961,468","$1,210","$2,336,349",$615,"$1,188,215","$2,024","$3,909,443",$671,"$1,295,827",$327,"$630,765",$157,"$302,929",$31,"$60,000","$12,424"
2013-14,RSU 12,"$6,268","$11,913,103",$141,"$268,500",$836,"$1,588,472","$1,014","$1,927,031","$1,220","$2,318,428",$640,"$1,216,702","$2,272","$4,316,953",$697,"$1,324,205",$284,"$538,882",$79,"$149,334",$26,"$50,000","$13,477"
2014-15,RSU 12,"$6,624","$9,700,455",$70,"$101,784",$728,"$1,065,977","$1,232","$1,803,611",$795,"$1,164,928",$442,"$646,990","$2,321","$3,398,380",$455,"$666,809",$322,"$471,469",$104,"$152,722",$34,"$50,000","$13,127"
2009-10,RSU 13,"$4,727","$10,068,029",$478,"$1,018,785",$599,"$1,275,679",$451,"$961,426","$1,706","$3,633,266",$783,"$1,667,295","$1,629","$3,469,962","$1,507","$3,209,308",$313,"$665,669",$447,"$952,832",,,"$12,640"
2010-11,RSU 13,"$4,711","$9,789,522",$272,"$565,426",$635,"$1,319,289",$441,"$916,499","$1,591","$3,305,082",$726,"$1,509,363","$1,500","$3,115,943","$1,210","$2,514,099",$268,"$555,999",$441,"$917,021",$39,"$80,000","$11,834"
2011-12,RSU 13,"$5,203","$10,505,316",$265,"$535,502",$686,"$1,384,663",$402,"$812,103","$1,651","$3,334,143",$744,"$1,502,566","$1,821","$3,676,100","$1,363","$2,751,605",$204,"$412,503",$448,"$905,254",$40,"$80,000","$12,827"
2012-13,RSU 13,"$5,258","$10,341,544",$273,"$536,959",$700,"$1,376,662",$400,"$786,214","$1,641","$3,227,171",$749,"$1,472,771","$1,974","$3,883,756","$1,250","$2,457,854",$267,"$526,084",$474,"$932,004",$41,"$80,000","$13,027"
2013-14,RSU 13,"$5,484","$10,460,406",$287,"$546,633",$670,"$1,278,736",$398,"$758,429","$1,701","$3,243,732",$797,"$1,519,458","$1,988","$3,792,725","$1,357","$2,588,883",$423,"$807,443",$497,"$948,450",$63,"$120,000","$13,665"
2014-15,RSU 13,"$5,711","$10,908,174",$251,"$479,056",$686,"$1,309,268",$409,"$780,443","$1,611","$3,076,087",$752,"$1,436,183","$2,099","$4,009,071","$1,297","$2,477,864",$325,"$620,995",$498,"$951,336",$142,"$270,772","$13,781"
2009-10,RSU 14,"$4,110","$14,085,919",$244,"$836,660",$616,"$2,110,927","$1,039","$3,560,252","$1,118","$3,830,795",$565,"$1,936,201","$1,676","$5,745,071",$879,"$3,011,066",$252,"$864,515",$123,"$420,122",,,"$10,622"
2010-11,RSU 14,"$4,056","$13,578,355",$215,"$720,955",$559,"$1,870,909","$1,031","$3,450,227","$1,461","$4,890,759",$544,"$1,821,450","$1,632","$5,463,444",$977,"$3,270,508",$267,"$892,034",$109,"$364,135",,,"$10,851"
2011-12,RSU 14,"$4,062","$13,626,700",$223,"$746,882",$583,"$1,955,829",$976,"$3,273,882","$1,405","$4,714,782",$614,"$2,060,228","$1,607","$5,391,430",$847,"$2,843,014",$290,"$971,473",$103,"$345,284",,,"$10,710"
2012-13,RSU 14,"$4,370","$14,563,456",$244,"$812,694",$582,"$1,938,818",$970,"$3,232,134","$1,319","$4,395,918",$565,"$1,881,274","$1,751","$5,836,128",$964,"$3,211,500",$276,"$919,787",$105,"$349,906",,,"$11,146"
2013-14,RSU 14,"$4,477","$14,634,834",$250,"$818,430",$629,"$2,054,561",$972,"$3,177,356","$1,352","$4,419,979",$636,"$2,078,773","$1,923","$6,284,747","$1,033","$3,375,523",$281,"$919,993",$107,"$350,760",,,"$11,660"
2014-15,RSU 14,"$4,906","$15,705,321",$251,"$804,483",$664,"$2,124,758",$955,"$3,058,631","$1,472","$4,713,807",$683,"$2,187,282","$1,970","$6,305,545","$1,065","$3,410,430",$313,"$1,002,802",$145,"$465,085",$5,"$16,783","$12,429"
2003-04,RSU 15/MSAD 15,"$3,076","$6,206,397",$122,"$245,215",$514,"$1,036,390",$342,"$690,390",$914,"$1,844,399",$490,"$989,052","$1,086","$2,190,761",$645,"$1,300,834",$370,"$746,137",$105,"$211,645",,$122,"$7,664"
2004-05,RSU 15/MSAD 15,"$3,187","$6,454,931",$154,"$311,049",$520,"$1,053,020",$346,"$699,753","$1,055","$2,136,135",$505,"$1,023,075","$1,090","$2,207,002",$706,"$1,430,645",$311,"$630,079",$121,"$244,725",,,"$7,995"
2005-06,RSU 15/MSAD 15,"$3,434","$6,798,101",$150,"$296,829",$676,"$1,337,423",$335,"$663,424","$1,032","$2,042,322",$556,"$1,100,476","$1,251","$2,476,174",$774,"$1,532,237",$271,"$536,699",$116,"$230,259",,,"$8,595"
2006-07,RSU 15/MSAD 15,"$3,803","$7,339,517",$175,"$337,753",$635,"$1,226,247",$292,"$562,867","$1,193","$2,302,141",$582,"$1,123,563","$1,299","$2,507,608",$825,"$1,591,601",$278,"$536,872",$159,"$307,645",,,"$9,241"
2007-08,RSU 15/MSAD 15,"$4,161","$7,968,251",$208,"$399,031",$737,"$1,410,626",$391,"$747,907","$1,342","$2,569,317",$612,"$1,172,275","$1,408","$2,695,358",$877,"$1,679,590",$245,"$469,542",,,,,"$9,981"
2008-09,RSU 15/MSAD 15,"$4,086","$7,822,928",$245,"$468,799",$685,"$1,311,773",$709,"$1,357,953","$1,544","$2,955,889",$563,"$1,077,447","$1,397","$2,675,368",$806,"$1,543,602",$249,"$477,343",$211,"$404,329",,,"$10,495"
2009-10,RSU 15/MSAD 15,"$4,092","$7,786,324",$283,"$538,364",$695,"$1,322,706",$591,"$1,124,251","$1,230","$2,341,162",$595,"$1,131,459","$1,321","$2,514,207",$894,"$1,701,871",$308,"$586,973",$198,"$377,234",,,"$10,207"
2010-11,RSU 15/MSAD 15,"$4,216","$8,125,856",$268,"$516,114",$785,"$1,513,931",$508,"$978,271","$1,301","$2,507,719",$540,"$1,040,603","$1,233","$2,376,878",$859,"$1,656,389",$278,"$534,920",$138,"$266,439",,,"$10,126"
2011-12,RSU 15/MSAD 15,"$3,847","$7,799,153",$258,"$523,030",$794,"$1,610,371",$462,"$937,224","$1,355","$2,747,280",$565,"$1,146,032","$1,242","$2,517,465",$834,"$1,690,299",$272,"$551,986",$97,"$197,468",,,"$9,726"
2012-13,RSU 15/MSAD 15,"$3,960","$7,996,721",$271,"$547,253",$816,"$1,647,678",$452,"$913,550","$1,261","$2,546,410",$588,"$1,187,895","$1,253","$2,531,315",$863,"$1,742,788",$279,"$563,050",$91,"$182,746",,,"$9,834"
2013-14,RSU 15/MSAD 15,"$4,507","$9,207,922",$285,"$581,730",$755,"$1,541,567",$430,"$879,094","$1,287","$2,629,457",$622,"$1,270,874","$1,436","$2,934,213",$954,"$1,948,165",$261,"$533,386",$79,"$161,743",,,"$10,616"
2014-15,RSU 15/MSAD 15,"$4,751","$9,732,342",$305,"$623,862",$786,"$1,609,086",$419,"$857,616","$1,289","$2,639,789",$636,"$1,302,862","$1,777","$3,640,944",$909,"$1,862,945",$300,"$614,219",$92,"$188,620",,,"$11,264"
2009-10,RSU 16,"$4,306","$7,363,918",$243,"$416,262",$613,"$1,047,566",$774,"$1,322,876","$1,088","$1,860,286",$549,"$938,728","$1,539","$2,632,036",$715,"$1,221,935",$356,"$609,069",,,,,"$10,183"
2010-11,RSU 16,"$4,092","$7,002,032",$246,"$421,416",$711,"$1,217,083",$717,"$1,226,707","$1,148","$1,963,419",$604,"$1,033,717","$1,539","$2,633,138",$752,"$1,286,934",$381,"$652,209",,,,,"$10,190"
2011-12,RSU 16,"$3,834","$6,615,839",$247,"$426,370",$739,"$1,275,041",$713,"$1,231,011","$1,099","$1,896,133",$615,"$1,060,430","$1,690","$2,915,621",$704,"$1,214,393",$463,"$798,245",,,$23,"$40,000","$10,127"
2012-13,RSU 16,"$4,128","$7,143,548",$254,"$438,693",$782,"$1,353,711",$685,"$1,185,132","$1,092","$1,889,877",$598,"$1,034,291","$1,800","$3,115,483",$745,"$1,288,862",$353,"$611,022",,,$23,"$40,000","$10,460"
2013-14,RSU 16,"$4,221","$7,568,521",$250,"$448,143",$808,"$1,448,653",$635,"$1,138,420","$1,151","$2,064,159",$610,"$1,093,071","$1,752","$3,141,657",$754,"$1,351,645",$314,"$562,395",,,$8,"$15,000","$10,503"
2014-15,RSU 16,"$4,482","$7,872,216",$266,"$466,894",$843,"$1,480,075",$621,"$1,090,637","$1,137","$1,997,880",$634,"$1,113,207","$1,976","$3,471,058",$780,"$1,370,295",$364,"$639,681",,,$11,"$20,000","$11,114"
2003-04,RSU 17/MSAD 17,"$3,055","$11,322,098",$111,"$410,474",$528,"$1,956,665",$737,"$2,732,288",$775,"$2,870,865",$455,"$1,685,620",$669,"$2,478,578",$551,"$2,041,300",$215,"$796,194",$778,"$2,883,546",,,"$7,874"
2004-05,RSU 17/MSAD 17,"$3,259","$11,859,437",$113,"$412,028",$554,"$2,015,508",$723,"$2,632,284",$816,"$2,970,461",$441,"$1,604,538",$617,"$2,243,094",$591,"$2,150,543",$193,"$701,080",$791,"$2,879,428",,,"$8,098"
2005-06,RSU 17/MSAD 17,"$3,379","$12,193,427",$142,"$511,154",$614,"$2,216,699",$790,"$2,848,783",$859,"$3,100,836",$477,"$1,720,069",$661,"$2,384,348",$554,"$1,997,400",$201,"$724,162",$822,"$2,967,454",,,"$8,499"
2006-07,RSU 17/MSAD 17,"$3,631","$13,072,749",$150,"$539,785",$623,"$2,242,598",$939,"$3,380,366",$938,"$3,376,124",$542,"$1,951,002",$723,"$2,604,290",$591,"$2,126,530",$211,"$757,910",$834,"$3,001,051",,,"$9,182"
2007-08,RSU 17/MSAD 17,"$3,856","$13,343,190",$276,"$953,764",$692,"$2,394,557",$929,"$3,215,350","$1,148","$3,970,808",$585,"$2,023,552",$930,"$3,216,575",$727,"$2,514,073",$256,"$884,525",$895,"$3,096,381",,,"$10,294"
2008-09,RSU 17/MSAD 17,"$3,989","$13,471,064",$257,"$868,058",$736,"$2,485,518",$946,"$3,194,192","$1,146","$3,870,166",$613,"$2,071,885","$1,055","$3,562,542",$760,"$2,567,811",$305,"$1,028,945",$948,"$3,202,357",,,"$10,755"
2009-10,RSU 17/MSAD 17,"$3,853","$13,154,255",$315,"$1,075,319",$694,"$2,369,896",$922,"$3,147,124","$1,017","$3,473,080",$611,"$2,087,719",$989,"$3,377,237",$729,"$2,487,696",$296,"$1,012,238",$926,"$3,160,193",,,"$10,352"
2010-11,RSU 17/MSAD 17,"$3,639","$12,616,712",$187,"$649,783",$700,"$2,426,190",$834,"$2,891,553",$986,"$3,417,169",$552,"$1,912,290",$976,"$3,383,511",$656,"$2,275,093",$246,"$853,872",$860,"$2,980,573",,,"$9,636"
2011-12,RSU 17/MSAD 17,"$3,680","$12,792,448",$190,"$659,990",$573,"$1,990,103",$706,"$2,454,867",$927,"$3,222,910",$534,"$1,855,425","$1,093","$3,799,071",$617,"$2,143,981",$257,"$894,463",$859,"$2,986,833",,,"$9,436"
2012-13,RSU 17/MSAD 17,"$3,733","$12,801,836",$186,"$637,289",$702,"$2,407,742",$666,"$2,283,453","$1,051","$3,604,851",$526,"$1,803,760","$1,144","$3,921,329",$675,"$2,312,735",$262,"$897,655",$893,"$3,060,465",,,"$9,838"
2013-14,RSU 17/MSAD 17,"$3,932","$13,547,954",$186,"$641,551",$754,"$2,599,057",$644,"$2,219,814","$1,083","$3,731,269",$556,"$1,916,004","$1,234","$4,252,967",$698,"$2,403,945",$257,"$886,232",$894,"$3,079,546",,,"$10,238"
2014-15,RSU 17/MSAD 17,"$4,124","$14,273,378",$194,"$669,763",$717,"$2,480,629",$616,"$2,130,336","$1,160","$4,015,153",$609,"$2,106,405","$1,331","$4,607,698",$731,"$2,528,643",$258,"$891,389",$912,"$3,157,518",,,"$10,652"
2009-10,RSU 18,"$4,451","$14,660,775",$275,"$904,118",$604,"$1,990,336",$505,"$1,663,013","$1,136","$3,742,808",$481,"$1,583,021",$971,"$3,199,019","$1,063","$3,502,168",$238,"$782,329",$152,"$500,548",,,"$9,876"
2010-11,RSU 18,"$4,563","$14,699,555",$194,"$623,744",$590,"$1,901,370",$493,"$1,586,960","$1,233","$3,971,499",$496,"$1,597,718",$813,"$2,619,333","$1,032","$3,323,326",$245,"$789,414",$157,"$504,894",$9,"$30,050","$9,825"
2011-12,RSU 18,"$4,703","$14,899,430",$181,"$572,717",$728,"$2,306,758",$312,"$988,598","$1,020","$3,232,573",$539,"$1,708,642","$1,006","$3,186,210","$1,005","$3,182,536",$227,"$719,684",$154,"$486,191",,,"$9,875"
