School year,District,Regular instruction (per student),Regular Instruction,Other instruction (per student),Other Instruction,Transp & Buses (per student),Transp & Buses,Debt Service (per student),Debt Service,Facilities Maintenance (per student),Facilities Maintenance,School Admin (per student),School Admin,Special Ed Instruction (per student),Special Ed Instruction,Student & Staff support (per student),Student & Staff support,System Admin (per student),System Admin,Vocational Ed Instruction (per student),Vocational Ed Instruction,All Other (per student),All Other,Total expenses per pupil
2005-06,Auburn Public Schools,"$3,700","$12,701,077",$130,"$445,211",$235,"$805,392",$549,"$1,885,226",$836,"$2,868,585",$303,"$1,040,554","$1,854","$6,364,718",$859,"$2,948,820",$417,"$1,431,769",,,,"$1,000","$8,883"
2006-07,Auburn Public Schools,"$3,808","$13,252,507",$29,"$100,023",$264,"$918,170",$786,"$2,733,546",$883,"$3,074,006",$302,"$1,050,956","$1,920","$6,680,203",$979,"$3,405,542",$263,"$916,142",,,,"$1,000","$9,234"
2007-08,Auburn Public Schools,"$3,584","$12,670,765",$427,"$1,510,476",$339,"$1,198,404",$761,"$2,691,004",$819,"$2,895,843",$382,"$1,349,034","$1,853","$6,549,987",$899,"$3,178,467",$300,"$1,060,405",,,,,"$9,364"
2008-09,Auburn Public Schools,"$3,357","$11,865,342",$518,"$1,831,737",$322,"$1,136,256",$794,"$2,806,356",$795,"$2,809,270",$343,"$1,212,643","$1,893","$6,692,160","$1,190","$4,206,080",$198,"$698,643",,,,,"$9,410"
2009-10,Auburn Public Schools,"$3,140","$11,163,659",$511,"$1,817,631",$312,"$1,108,358",$724,"$2,574,061",$787,"$2,798,109",$329,"$1,168,498","$1,818","$6,464,005","$1,054","$3,746,394",$213,"$756,468",,,,,"$8,888"
2010-11,Auburn Public Schools,"$3,688","$13,288,937",$168,"$606,456",$342,"$1,232,447",$694,"$2,501,063",$799,"$2,880,269",$334,"$1,202,399","$1,776","$6,401,425","$1,077","$3,880,326",$238,"$855,728",,,,,"$9,116"
2011-12,Auburn Public Schools,"$3,656","$13,292,251",$189,"$686,004",$333,"$1,211,133",$682,"$2,480,123",$618,"$2,248,094",$322,"$1,171,864","$1,841","$6,695,450","$1,087","$3,950,439",$208,"$756,173",,,,,"$8,936"
2012-13,Auburn Public Schools,"$3,769","$13,752,247",$173,"$631,811",$379,"$1,383,102",$653,"$2,383,040",$818,"$2,986,297",$325,"$1,187,273","$2,013","$7,344,666","$1,063","$3,877,259",$216,"$786,997",,,,,"$9,409"
2013-14,Auburn Public Schools,"$3,968","$14,190,257",$181,"$646,180",$330,"$1,180,543",$738,"$2,639,632",$911,"$3,259,084",$345,"$1,231,810","$2,105","$7,525,941","$1,174","$4,199,095",$237,"$846,592",,,$9,"$32,491","$9,998"
2014-15,Auburn Public Schools,"$4,174","$14,968,584",$206,"$738,988",$339,"$1,217,297",$755,"$2,707,011",$896,"$3,214,973",$347,"$1,244,558","$2,150","$7,712,333","$1,220","$4,374,042",$235,"$840,903",,,,,"$10,322"
2003-04,Augusta Public Schools,"$3,312","$8,212,941",$168,"$415,412",$345,"$855,766",$210,"$520,550","$1,004","$2,489,128",$419,"$1,039,548","$1,249","$3,096,388",$519,"$1,285,834",$435,"$1,079,156",$299,"$741,158",,,"$7,960"
2004-05,Augusta Public Schools,"$3,419","$8,264,220",$169,"$409,017",$358,"$864,986",$204,"$493,081","$1,210","$2,923,950",$466,"$1,125,423","$1,321","$3,192,176",$582,"$1,407,760",$542,"$1,310,743",$399,"$964,529",-$12,,"$8,658"
2005-06,Augusta Public Schools,"$3,542","$8,375,020",$182,"$430,573",$409,"$966,775",$187,"$441,350","$1,137","$2,687,956",$507,"$1,197,967","$1,329","$3,142,792",$618,"$1,460,203",$471,"$1,113,558",$456,"$1,077,623",-$13,,"$8,825"
2006-07,Augusta Public Schools,"$3,695","$8,630,264",$215,"$501,529",$468,"$1,092,689",$425,"$992,161","$1,323","$3,088,747",$518,"$1,210,754","$1,552","$3,625,345",$666,"$1,554,691",$420,"$981,800",$572,"$1,336,394",-$13,,"$9,841"
2007-08,Augusta Public Schools,"$3,459","$8,134,210",$360,"$847,146",$360,"$846,858","$1,304","$3,065,314","$1,011","$2,376,274",$585,"$1,375,102","$1,527","$3,590,637",$745,"$1,750,866",$516,"$1,212,964",$660,"$1,552,737",,,"$10,527"
2008-09,Augusta Public Schools,"$3,419","$7,944,218",$348,"$808,549",$444,"$1,031,980","$1,303","$3,026,651","$1,171","$2,721,212",$557,"$1,293,038","$1,527","$3,548,525",$712,"$1,653,228",$451,"$1,047,229",$749,"$1,739,172",,,"$10,681"
2009-10,Augusta Public Schools,"$3,445","$7,667,498",$332,"$739,140",$539,"$1,199,209","$1,172","$2,608,917","$1,093","$2,432,686",$594,"$1,322,130","$1,589","$3,536,960",$737,"$1,639,738",$423,"$942,565",$844,"$1,878,133",,,"$10,768"
2010-11,Augusta Public Schools,"$3,477","$7,450,102",$245,"$524,562",$513,"$1,098,839","$1,196","$2,562,919","$1,138","$2,438,600",$601,"$1,287,124","$1,566","$3,355,086",$999,"$2,140,634",$283,"$607,295",$749,"$1,604,161",$32,"$67,615","$10,799"
2011-12,Augusta Public Schools,"$3,254","$7,243,865",$258,"$574,906",$670,"$1,490,698","$1,148","$2,556,492",$995,"$2,216,034",$623,"$1,387,368","$1,578","$3,513,599",$972,"$2,163,558",$287,"$638,930","$1,175","$2,616,987",$26,"$58,751","$10,986"
2012-13,Augusta Public Schools,"$3,323","$7,287,256",$223,"$488,981",$728,"$1,597,146","$1,156","$2,535,221","$1,101","$2,413,535",$609,"$1,335,790","$1,687","$3,700,020",$817,"$1,791,852",$329,"$720,801","$1,063","$2,331,264",$28,"$62,222","$11,064"
2013-14,Augusta Public Schools,"$3,542","$7,586,280",$244,"$521,881",$713,"$1,526,339","$1,194","$2,557,642","$1,104","$2,364,929",$685,"$1,467,374","$1,753","$3,754,000",$826,"$1,768,183",$379,"$811,756",$922,"$1,975,000",$25,"$52,630","$11,387"
2014-15,Augusta Public Schools,"$3,635","$7,843,436",$230,"$496,925",$679,"$1,464,575","$1,062","$2,291,350","$1,096","$2,365,045",$685,"$1,478,924","$1,802","$3,889,506",$844,"$1,821,167",$340,"$734,260",$878,"$1,895,609",$1,"$2,169","$11,252"
2003-04,Baileyville Public Schools,"$2,756","$778,539",$853,"$240,921",$331,"$93,570",,,"$1,693","$478,312","$1,165","$328,994","$1,360","$384,199","$1,285","$362,998",$423,"$119,506",,,$424,"$119,840","$10,290"
2004-05,Baileyville Public Schools,"$2,769","$822,398",$765,"$227,093",$323,"$96,053",,,"$1,172","$347,965","$1,655","$491,434","$1,421","$422,022","$1,289","$382,951",$391,"$116,076",,,$405,"$120,188","$10,190"
2005-06,Baileyville Public Schools,"$2,881","$802,313",$852,"$237,327",$416,"$115,810",,,"$1,832","$510,221","$1,246","$346,998","$1,494","$416,184","$1,387","$386,346",$493,"$137,292",,,$452,"$125,863","$11,053"
2006-07,Baileyville Public Schools,"$3,014","$904,111",$862,"$258,467",$385,"$115,425",,,"$1,689","$506,762","$1,242","$372,447","$1,510","$452,922","$1,236","$370,660",$441,"$132,351",,,$456,"$136,707","$10,835"
