Commodity,State,Time,Total Value ($US)
"05 Products Of Animal Origin, Nesoi",Rhode Island,2016 through November,"843,485"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",All States,2008,"45,279,552"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",All States,2009,"39,175,293"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",All States,2010,"42,048,890"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",All States,2011,"41,996,392"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",All States,2012,"44,292,026"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",All States,2013,"47,352,739"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",All States,2014,"51,537,203"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",All States,2015,"50,002,821"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",All States,2016 through November,"46,935,769"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",Maine,2015,"3,366"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",Massachusetts,2008,"5,150"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",Massachusetts,2011,"2,671"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",New Hampshire,2009,"5,570"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",New Hampshire,2013,"10,360"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",Vermont,2008,"3,661"
07 Edible Vegetables & Certain Roots & Tubers,All States,2008,"3,264,707,063"
07 Edible Vegetables & Certain Roots & Tubers,All States,2009,"3,151,076,800"
07 Edible Vegetables & Certain Roots & Tubers,All States,2010,"3,966,796,924"
07 Edible Vegetables & Certain Roots & Tubers,All States,2011,"4,449,702,098"
07 Edible Vegetables & Certain Roots & Tubers,All States,2012,"4,458,667,342"
07 Edible Vegetables & Certain Roots & Tubers,All States,2013,"5,021,209,661"
07 Edible Vegetables & Certain Roots & Tubers,All States,2014,"5,132,217,839"
07 Edible Vegetables & Certain Roots & Tubers,All States,2015,"5,312,750,681"
07 Edible Vegetables & Certain Roots & Tubers,All States,2016 through November,"5,579,345,845"
07 Edible Vegetables & Certain Roots & Tubers,Connecticut,2008,"314,386"
07 Edible Vegetables & Certain Roots & Tubers,Connecticut,2009,"1,128,577"
07 Edible Vegetables & Certain Roots & Tubers,Connecticut,2010,"4,231,550"
07 Edible Vegetables & Certain Roots & Tubers,Connecticut,2011,"3,150,936"
07 Edible Vegetables & Certain Roots & Tubers,Connecticut,2012,"524,328"
07 Edible Vegetables & Certain Roots & Tubers,Connecticut,2013,"1,625,928"
07 Edible Vegetables & Certain Roots & Tubers,Connecticut,2014,"2,296,058"
07 Edible Vegetables & Certain Roots & Tubers,Connecticut,2015,"2,509,927"
07 Edible Vegetables & Certain Roots & Tubers,Connecticut,2016 through November,"6,263,464"
07 Edible Vegetables & Certain Roots & Tubers,Maine,2008,"27,784"
07 Edible Vegetables & Certain Roots & Tubers,Maine,2009,"217,355"
07 Edible Vegetables & Certain Roots & Tubers,Maine,2010,"834,352"
07 Edible Vegetables & Certain Roots & Tubers,Maine,2011,"1,234,533"
07 Edible Vegetables & Certain Roots & Tubers,Maine,2012,"1,324,910"
07 Edible Vegetables & Certain Roots & Tubers,Maine,2013,"1,024,638"
07 Edible Vegetables & Certain Roots & Tubers,Maine,2014,"1,014,157"
07 Edible Vegetables & Certain Roots & Tubers,Maine,2015,"846,048"
07 Edible Vegetables & Certain Roots & Tubers,Maine,2016 through November,"910,167"
07 Edible Vegetables & Certain Roots & Tubers,Massachusetts,2008,"5,911,484"
07 Edible Vegetables & Certain Roots & Tubers,Massachusetts,2009,"8,948,085"
07 Edible Vegetables & Certain Roots & Tubers,Massachusetts,2010,"15,632,897"
07 Edible Vegetables & Certain Roots & Tubers,Massachusetts,2011,"19,305,122"
07 Edible Vegetables & Certain Roots & Tubers,Massachusetts,2012,"9,378,933"
07 Edible Vegetables & Certain Roots & Tubers,Massachusetts,2013,"20,190,686"
07 Edible Vegetables & Certain Roots & Tubers,Massachusetts,2014,"29,843,337"
07 Edible Vegetables & Certain Roots & Tubers,Massachusetts,2015,"39,429,775"
07 Edible Vegetables & Certain Roots & Tubers,Massachusetts,2016 through November,"36,348,441"
07 Edible Vegetables & Certain Roots & Tubers,New Hampshire,2008,"312,959"
07 Edible Vegetables & Certain Roots & Tubers,New Hampshire,2009,"57,303"
07 Edible Vegetables & Certain Roots & Tubers,New Hampshire,2010,"130,863"
07 Edible Vegetables & Certain Roots & Tubers,New Hampshire,2011,"419,614"
07 Edible Vegetables & Certain Roots & Tubers,New Hampshire,2012,"229,747"
07 Edible Vegetables & Certain Roots & Tubers,New Hampshire,2013,"251,480"
07 Edible Vegetables & Certain Roots & Tubers,New Hampshire,2014,"279,295"
07 Edible Vegetables & Certain Roots & Tubers,New Hampshire,2015,"309,225"
07 Edible Vegetables & Certain Roots & Tubers,New Hampshire,2016 through November,"901,717"
07 Edible Vegetables & Certain Roots & Tubers,Rhode Island,2008,"6,999"
07 Edible Vegetables & Certain Roots & Tubers,Rhode Island,2009,"13,471"
07 Edible Vegetables & Certain Roots & Tubers,Rhode Island,2010,"12,545"
07 Edible Vegetables & Certain Roots & Tubers,Rhode Island,2011,"9,720"
07 Edible Vegetables & Certain Roots & Tubers,Rhode Island,2013,"133,422"
07 Edible Vegetables & Certain Roots & Tubers,Rhode Island,2014,"113,664"
07 Edible Vegetables & Certain Roots & Tubers,Rhode Island,2015,"188,450"
07 Edible Vegetables & Certain Roots & Tubers,Rhode Island,2016 through November,"322,663"
07 Edible Vegetables & Certain Roots & Tubers,Vermont,2008,"1,106,811"
07 Edible Vegetables & Certain Roots & Tubers,Vermont,2009,"647,514"
07 Edible Vegetables & Certain Roots & Tubers,Vermont,2010,"777,075"
07 Edible Vegetables & Certain Roots & Tubers,Vermont,2011,"736,406"
07 Edible Vegetables & Certain Roots & Tubers,Vermont,2012,"1,085,925"
07 Edible Vegetables & Certain Roots & Tubers,Vermont,2013,"2,563,681"
07 Edible Vegetables & Certain Roots & Tubers,Vermont,2014,"1,196,281"
07 Edible Vegetables & Certain Roots & Tubers,Vermont,2015,"469,623"
07 Edible Vegetables & Certain Roots & Tubers,Vermont,2016 through November,"26,500"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,All States,2008,"1,999,838,093"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,All States,2009,"2,288,382,378"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,All States,2010,"2,705,439,997"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,All States,2011,"2,921,241,968"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,All States,2012,"3,321,664,982"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,All States,2013,"3,694,902,491"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,All States,2014,"4,480,772,768"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,All States,2015,"5,158,594,760"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,All States,2016 through November,"5,375,923,767"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Connecticut,2008,"283,519"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Connecticut,2009,"38,220"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Connecticut,2011,"5,016"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Connecticut,2012,"7,524"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Connecticut,2013,"10,560"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Connecticut,2014,"50,280"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Connecticut,2015,"430,770"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Connecticut,2016 through November,"384,324"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Maine,2012,"21,060"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Maine,2014,"3,135,503"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Maine,2015,"3,993,148"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Maine,2016 through November,"17,126"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Massachusetts,2008,"130,374"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Massachusetts,2009,"352,138"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Massachusetts,2010,"858,068"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Massachusetts,2011,"696,556"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Massachusetts,2012,"1,479,944"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Massachusetts,2013,"1,710,000"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Massachusetts,2014,"5,791,061"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Massachusetts,2015,"8,403,173"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Massachusetts,2016 through November,"9,150,573"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,New Hampshire,2015,"1,371,222"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,New Hampshire,2016 through November,"3,780,076"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Vermont,2010,"73,255"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Vermont,2011,"37,317"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Vermont,2012,"69,183"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Vermont,2013,"185,566"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Vermont,2014,"417,082"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Vermont,2015,"777,189"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,Vermont,2016 through November,"815,877"
"09 Coffee, Tea, Mate & Spices",All States,2008,"257,515,143"
"09 Coffee, Tea, Mate & Spices",All States,2009,"277,206,174"
"09 Coffee, Tea, Mate & Spices",All States,2010,"287,789,221"
"09 Coffee, Tea, Mate & Spices",All States,2011,"550,132,269"
"09 Coffee, Tea, Mate & Spices",All States,2012,"524,209,330"
"09 Coffee, Tea, Mate & Spices",All States,2013,"398,278,819"
"09 Coffee, Tea, Mate & Spices",All States,2014,"343,699,728"
"09 Coffee, Tea, Mate & Spices",All States,2015,"306,914,210"
"09 Coffee, Tea, Mate & Spices",All States,2016 through November,"228,035,585"
"09 Coffee, Tea, Mate & Spices",Connecticut,2008,"15,763,578"
"09 Coffee, Tea, Mate & Spices",Connecticut,2009,"1,060,763"
"09 Coffee, Tea, Mate & Spices",Connecticut,2010,"111,807"
"09 Coffee, Tea, Mate & Spices",Connecticut,2011,"1,003,607"
"09 Coffee, Tea, Mate & Spices",Connecticut,2012,"6,441,329"
"09 Coffee, Tea, Mate & Spices",Connecticut,2013,"1,285,202"
"09 Coffee, Tea, Mate & Spices",Connecticut,2014,"8,043,141"
"09 Coffee, Tea, Mate & Spices",Connecticut,2015,"5,225,624"
"09 Coffee, Tea, Mate & Spices",Connecticut,2016 through November,"1,392,562"
"09 Coffee, Tea, Mate & Spices",Massachusetts,2008,"2,283,386"
"09 Coffee, Tea, Mate & Spices",Massachusetts,2009,"1,898,441"
"09 Coffee, Tea, Mate & Spices",Massachusetts,2010,"1,283,740"
"09 Coffee, Tea, Mate & Spices",Massachusetts,2011,"3,915,389"
"09 Coffee, Tea, Mate & Spices",Massachusetts,2012,"2,458,892"
"09 Coffee, Tea, Mate & Spices",Massachusetts,2013,"1,935,172"
"09 Coffee, Tea, Mate & Spices",Massachusetts,2014,"1,736,300"
"09 Coffee, Tea, Mate & Spices",Massachusetts,2015,"2,033,581"
"09 Coffee, Tea, Mate & Spices",Massachusetts,2016 through November,"1,559,052"
"09 Coffee, Tea, Mate & Spices",Vermont,2008,"5,148"
"09 Coffee, Tea, Mate & Spices",Vermont,2009,"13,144"
"09 Coffee, Tea, Mate & Spices",Vermont,2010,"113,872"
"09 Coffee, Tea, Mate & Spices",Vermont,2011,"196,736"
"09 Coffee, Tea, Mate & Spices",Vermont,2012,"27,161"
"09 Coffee, Tea, Mate & Spices",Vermont,2013,"16,610"
"09 Coffee, Tea, Mate & Spices",Vermont,2015,"110,287"
"09 Coffee, Tea, Mate & Spices",Vermont,2016 through November,"570,214"
10 Cereals,All States,2008,"42,070,211"
10 Cereals,All States,2009,"16,805,274"
10 Cereals,All States,2010,"12,245,110"
10 Cereals,All States,2011,"16,764,218"
10 Cereals,All States,2012,"37,500,288"
10 Cereals,All States,2013,"18,686,262"
10 Cereals,All States,2014,"28,915,523"
10 Cereals,All States,2015,"33,341,929"
10 Cereals,All States,2016 through November,"19,598,435"
10 Cereals,Connecticut,2012,"17,804,545"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,All States,2008,"46,081,525"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,All States,2009,"42,538,017"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,All States,2010,"40,210,643"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,All States,2011,"42,709,203"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,All States,2012,"47,345,293"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,All States,2013,"55,169,379"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,All States,2014,"57,723,133"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,All States,2015,"64,558,492"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,All States,2016 through November,"76,194,665"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,Connecticut,2008,"91,524"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,Connecticut,2009,"68,677"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,Connecticut,2010,"16,530"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,Massachusetts,2016 through November,"13,358"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",All States,2008,"57,302,646"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",All States,2009,"51,500,884"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",All States,2010,"54,964,312"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",All States,2011,"68,215,997"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",All States,2012,"83,423,493"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",All States,2013,"102,722,363"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",All States,2014,"104,948,535"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",All States,2015,"80,204,571"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",All States,2016 through November,"65,838,012"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",Connecticut,2008,"58,766"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",Connecticut,2011,"4,290"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",Connecticut,2012,"73,092"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",Connecticut,2013,"94,277"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",Connecticut,2014,"101,314"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",Connecticut,2015,"23,873"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",Maine,2008,"100,458"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",Maine,2009,"220,420"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",Maine,2010,"219,917"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",Maine,2011,"131,939"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",Maine,2012,"389,499"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",Maine,2013,"390,604"
